Year,Team,Conf,Seed,Wins,Losses,KenPom,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,OppO,OppD,NCSOS AdjEM,AdjO_rank,AdjD_rank,AdjT_rank,Luck_rank,SOS AdjEM_rank,OppO_rank,OppD_rank,NCSOS AdjEM_rank
2018,Villanova,BE,1,32,4,1,32.2,127.6,95.4,68.3,-0.021,9.95,110.8,100.8,4.02,1,19,175,235,22,24,31,61
2018,Virginia,ACC,1,31,3,2,29.75,115.4,85.7,59.4,0.048,9.54,110.3,100.8,0.08,30,1,351,67,31,31,27,157
2018,Duke,ACC,2,28,7,3,29.65,122.9,93.3,69.8,-0.03,10.28,110.5,100.2,4.23,3,8,86,264,16,30,12,56
2018,Purdue,B10,2,30,6,4,26.81,123.3,96.5,67,0.01,8.42,109,100.6,0.8,2,32,229,147,48,56,21,144
2018,Cincinnati,Amer,2,31,5,5,26.58,113.5,87,64.4,-0.019,3.53,107.1,103.6,-4.18,49,2,333,229,85,89,88,294
2018,Michigan St.,B10,3,30,5,6,25.2,119.2,94,67,0.038,6.5,108.7,102.1,-5,13,11,230,82,61,62,66,303
2018,Gonzaga,WCC,4,32,4,7,24.57,119.6,95,69.5,0.008,1.67,106.5,104.9,3.11,12,14,101,154,109,102,128,80
2018,North Carolina,ACC,2,26,11,8,23.76,120.6,96.8,71.2,-0.011,13.48,111.9,98.4,7.65,7,34,46,207,1,3,1,16
2018,Kansas,B12,1,29,7,9,23.52,121,97.5,68.5,0.066,11.39,111.2,99.8,3.65,5,46,163,36,6,12,8,72
2018,Michigan,B10,3,30,7,10,23.29,114.8,91.5,64.5,0.046,8.94,110.9,102,-4.68,36,3,329,69,40,23,60,301
2018,West Virginia,B12,5,26,10,11,22.69,119.8,97.1,68.9,-0.007,10.17,109.7,99.5,-4.5,11,39,129,196,18,44,2,298
2018,Tennessee,SEC,3,26,9,12,22.38,114.8,92.4,66,0.019,11.26,111.5,100.3,7.39,37,6,281,126,8,8,14,19
2018,Texas Tech,B12,3,26,9,13,22.1,113.7,91.6,66.6,-0.006,9.37,110.2,100.8,-5.22,47,4,249,195,33,35,29,310
2018,Clemson,ACC,5,25,9,14,21.88,114.4,92.5,65.9,0.004,9.95,110.6,100.6,-1.74,42,7,285,167,21,29,22,208
2018,Xavier,BE,1,29,6,15,21.24,120.1,98.8,70.5,0.091,9.23,110.1,100.9,1.88,8,59,62,17,36,36,34,109
2018,Kentucky,SEC,5,26,10,16,21,116.6,95.6,68.8,0.004,11.11,111,99.9,4.84,20,24,138,166,9,18,10,42
2018,Ohio St.,B10,5,25,9,17,20.97,116.1,95.1,66.9,0.02,8.63,109.9,101.3,0.46,24,17,235,125,42,41,47,151
2018,Houston,Amer,6,27,8,18,20.24,114.8,94.5,68.4,-0.015,4.02,106.8,102.8,-2.9,39,13,166,218,81,98,73,249
2018,Florida,SEC,6,21,13,19,19.13,114.7,95.5,67.1,-0.059,10.98,110.6,99.6,4.64,40,21,223,307,12,28,3,48
2018,Wichita St.,Amer,4,25,8,20,19.04,121.1,102.1,68.5,-0.026,5.23,107.5,102.2,1.71,4,111,160,255,72,80,67,111
2018,Auburn,SEC,4,26,8,21,18.83,115.7,96.9,72.5,0.034,7.74,109.1,101.3,-1.82,25,35,19,93,56,54,48,212
2018,Butler,BE,10,21,14,22,18.79,116.3,97.5,67.6,-0.047,11.07,112.1,101.1,0.06,23,44,204,290,10,1,39,158
2018,Nevada,MWC,7,29,7,23,18.59,120.7,102.1,69.4,-0.012,5,107.1,102.1,3.88,6,110,105,210,75,88,63,66
2018,TCU,B12,6,21,12,24,18.57,119.9,101.3,68.6,-0.067,9.87,111,101.1,-0.73,10,100,157,322,23,20,40,180
2018,Texas A&M,SEC,7,22,12,25,18.05,111.5,93.4,69.3,0.002,11.53,112,100.4,5.21,65,10,110,175,4,2,18,37
2018,Saint Mary's,WCC,,29,5,26,17.91,120,102.1,63.7,0.004,-1.94,104.1,106.1,-4.06,9,109,341,164,189,195,189,290
2018,Seton Hall,BE,8,22,12,27,17.84,116.9,99.1,69.4,-0.028,10.06,110.7,100.6,0.12,17,63,102,260,20,27,23,155
2018,Arizona,P12,4,27,8,28,17.62,118.2,100.6,67.1,0.036,5.98,108.6,102.6,2.73,15,85,222,87,67,63,72,86
2018,Penn St.,B10,,23,13,29,17.56,112.6,95.1,67.5,-0.063,6.83,109.4,102.5,-6.24,58,15,208,317,59,49,71,323
2018,Florida St.,ACC,9,22,11,30,16.96,115.2,98.2,71.4,-0.019,8.58,109.4,100.8,-6.78,32,55,37,230,43,47,28,329
2018,Louisville,ACC,,22,13,31,16.89,113.1,96.2,69.6,-0.009,9.01,109.9,100.9,-2.39,52,28,94,204,38,40,35,233
2018,Creighton,BE,8,21,12,32,16.71,115.6,98.9,70.7,-0.028,9.32,111,101.6,-4.16,26,60,57,259,35,22,54,293
