Year,Team,Conf,Seed,Wins,Losses,KenPom,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,OppO,OppD,NCSOS AdjEM,AdjO_rank,AdjD_rank,AdjT_rank,Luck_rank,SOS AdjEM_rank,OppO_rank,OppD_rank,NCSOS AdjEM_rank
2002,Duke,ACC,1,31,4,1,34.19,121,86.8,74.5,-0.027,9.87,109.3,99.5,6.66,1,1,8,223,18,13,31,34
2002,Cincinnati,CUSA,1,31,4,2,30.19,118.1,87.9,67.4,0.002,6.58,106.5,100,3.48,7,3,194,165,57,66,44,80
2002,Maryland,ACC,1,32,4,3,29.25,119.2,89.9,73.7,0.025,9.88,109.4,99.5,1.62,4,7,15,104,16,11,32,120
2002,Kansas,B12,1,33,4,4,28.99,118.7,89.7,77.3,0.022,10.67,110.5,99.9,8.32,5,6,3,109,10,4,40,23
2002,Oklahoma,B12,2,31,5,5,26.04,114.9,88.9,66.5,0.043,8.77,109.2,100.4,-0.44,20,4,228,69,26,15,62,169
2002,Indiana,B10,5,25,12,6,24.8,114,89.2,65.6,-0.049,14.12,111.1,96.9,13.54,26,5,255,270,2,2,2,4
2002,Florida,SEC,5,22,9,7,24.72,115.1,90.4,69.6,-0.073,9.11,108.3,99.2,-0.56,19,8,103,300,23,29,25,173
2002,Illinois,B10,4,26,9,8,23.21,115.7,92.5,68.5,0.016,10.6,110,99.4,6.79,17,16,153,123,11,9,29,32
2002,Oregon,P10,2,26,9,9,22.97,119.2,96.3,71.1,-0.041,8.15,108.3,100.2,-3.3,3,40,61,255,36,31,51,245
2002,Kentucky,SEC,4,22,10,10,22.21,113.4,91.2,68,-0.029,12.97,110.3,97.4,6.75,29,9,169,230,3,7,5,33
2002,Marquette,CUSA,5,26,7,11,21.47,113.4,91.9,64.6,0.006,5.41,105.7,100.3,-2.87,30,11,281,155,72,95,59,233
2002,USC,P10,4,22,10,12,20.67,112.8,92.1,70.1,-0.051,9.31,109.4,100.1,1.9,36,14,88,275,21,10,50,113
2002,Arizona,P10,3,24,10,13,20.54,119.3,98.8,71.1,0.079,14.22,111.5,97.3,17.56,2,82,59,15,1,1,3,1
2002,Kent St.,MAC,10,29,6,14,20.39,116.7,96.4,64.7,0.008,3.11,106.3,103.2,2.99,8,42,278,150,104,77,142,90
2002,Stanford,P10,8,20,10,15,20.32,116.6,96.3,69.5,-0.02,10.33,110.4,100.1,2.1,10,41,106,205,13,5,48,108
2002,Pittsburgh,BE,3,29,6,16,19.94,112.1,92.2,63.8,0,3.12,103.9,100.8,-12.07,39,15,293,172,103,151,70,325
2002,Ohio St.,B10,4,24,8,17,19.76,116.4,96.6,66.8,0.005,7.51,106.8,99.3,-1.26,11,47,215,159,46,58,27,196
2002,Connecticut,BE,2,27,7,18,19.36,112.2,92.8,68.7,0.063,8.19,107.5,99.3,1.73,38,18,143,31,34,44,26,118
2002,Notre Dame,BE,8,21,11,19,19.27,116.1,96.8,68.6,-0.087,7.34,105.6,98.3,-1.55,14,52,149,307,47,98,8,205
2002,South Carolina,SEC,,21,15,20,19.18,107,87.9,65.3,-0.074,10.28,108.7,98.4,-0.78,102,2,263,301,14,23,11,180
2002,North Carolina St.,ACC,7,23,11,21,19.15,113.2,94,67.5,0.012,8.28,108.8,100.6,-5.56,33,26,193,136,31,20,64,283
2002,Alabama,SEC,2,27,8,22,18.73,114,95.3,68,0.076,8.59,107.4,98.8,-1.56,24,32,170,21,29,46,15,206
2002,Xavier,A10,7,26,6,23,18.6,111.2,92.6,67,0.051,5.1,106.9,101.8,5.37,48,17,206,54,76,55,95,47
2002,Gonzaga,WCC,6,28,4,24,18.51,115.6,97.1,68.5,0.049,1.13,104,102.8,4.04,18,53,155,61,133,146,131,75
2002,Georgia,SEC,3,22,9,25,18.44,116.7,98.3,69.2,-0.021,9.88,108.3,98.4,3.3,9,73,121,206,17,30,12,83
2002,Mississippi St.,SEC,3,27,8,26,18.25,111.4,93.1,67.9,0.107,8.93,106.9,98,-0.96,43,20,174,6,25,56,6,187
2002,Texas,B12,6,22,12,27,17.69,116,98.3,68.5,-0.021,10.18,109.3,99.1,5.3,15,74,150,208,15,14,23,50
2002,Butler,Horz,,26,6,28,17.63,111.9,94.3,62.1,-0.051,-1.43,103.3,104.7,-4.63,41,27,316,276,192,179,212,268
2002,Missouri,B12,12,24,12,29,17.49,116.2,98.7,70.1,-0.01,7.92,108.2,100.3,-0.39,12,81,89,189,41,34,56,166
2002,Wake Forest,ACC,7,21,13,30,17.35,118.6,101.3,69.5,0.006,11.24,109.3,98.1,5.85,6,126,108,156,9,12,7,44
2002,Texas Tech,B12,6,23,9,31,17.24,114.6,97.4,69.8,0.061,6.69,107.1,100.4,-0.13,21,59,96,36,55,50,61,159
2002,Michigan St.,B10,10,19,12,32,16.86,113,96.2,63.3,-0.026,9.76,108.7,99,1.5,34,38,297,219,19,21,19,126
2002,Memphis,CUSA,,27,9,33,16.69,112.5,95.8,70.8,-0.008,3.63,105.1,101.5,-1.69,37,35,65,186,99,111,86,208
