Year,Team,Conf,Seed,Wins,Losses,KenPom,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,OppO,OppD,NCSOS AdjEM,AdjO_rank,AdjD_rank,AdjT_rank,Luck_rank,SOS AdjEM_rank,OppO_rank,OppD_rank,NCSOS AdjEM_rank
2018,Villanova,BE,1,32,4,1,32.25,127.7,95.4,68.3,-0.021,10.04,110.8,100.7,4.1,1,20,174,234,22,24,24,60
2018,Duke,ACC,2,28,7,2,29.56,122.8,93.3,69.9,-0.03,10.2,110.4,100.2,4.3,3,7,86,264,19,29,13,56
2018,Virginia,ACC,1,31,3,3,29.46,115.2,85.8,59.4,0.048,9.31,110.2,100.9,0.11,31,1,351,67,34,32,32,158
2018,Cincinnati,Amer,2,31,4,4,27.12,113.4,86.3,64.5,-0.004,3.12,106.7,103.6,-4.17,50,2,328,189,86,101,89,295
2018,Purdue,B10,2,29,6,5,26.99,122.9,95.9,67.3,0.001,8.17,108.8,100.6,0.8,2,25,218,175,47,60,23,146
2018,Michigan St.,B10,3,30,4,6,25.85,120.1,94.2,67.1,0.055,6.37,108.7,102.4,-4.94,9,11,225,60,62,62,68,302
2018,North Carolina,ACC,2,26,10,7,24.66,121.3,96.6,71,-0.018,13.12,111.8,98.6,7.75,4,35,50,227,1,2,1,16
2018,Gonzaga,WCC,4,32,4,8,24.55,119.5,95,69.5,0.008,1.68,106.5,104.8,3.13,13,15,100,153,109,102,130,80
2018,Kansas,B12,1,29,7,9,23.45,120.9,97.4,68.5,0.066,11.36,111.2,99.9,3.54,6,45,162,36,6,13,9,77
2018,Michigan,B10,3,30,7,10,23.42,114.9,91.5,64.5,0.046,9.09,111,101.9,-4.61,36,3,331,68,36,23,58,300
2018,Tennessee,SEC,3,26,9,11,22.35,114.8,92.5,66,0.019,11.28,111.5,100.2,7.45,38,5,280,126,7,8,12,19
2018,West Virginia,B12,5,25,10,12,22.29,119.6,97.3,69,-0.007,10.36,109.7,99.3,-4.57,12,43,128,197,16,44,2,299
2018,Texas Tech,B12,3,26,9,13,22.06,113.7,91.6,66.7,-0.006,9.37,110.2,100.8,-5.18,48,4,249,196,32,34,25,310
2018,Xavier,BE,1,29,5,14,21.73,120.7,98.9,70.7,0.106,9.08,109.9,100.8,2.06,7,60,58,9,37,41,26,104
2018,Ohio St.,B10,5,25,9,15,21.02,116.1,95.1,67,0.02,8.7,109.9,101.2,0.42,24,18,235,125,41,39,45,151
2018,Kentucky,SEC,5,26,10,16,20.9,116.6,95.7,68.9,0.004,11.04,111,100,4.78,22,23,137,164,10,20,10,45
2018,Houston,Amer,6,27,8,17,20.34,114.8,94.5,68.4,-0.015,4.13,106.8,102.7,-2.88,37,13,166,217,80,97,73,250
2018,Auburn,SEC,4,26,7,18,20.28,116.7,96.4,72.5,-0.004,7.33,108.9,101.6,-1.67,19,32,19,185,57,57,52,207
2018,Clemson,ACC,5,24,9,19,20.25,113.9,93.6,65.9,0.007,9.5,110.3,100.8,-1.71,46,9,287,156,30,30,28,209
2018,Wichita St.,Amer,4,25,8,20,19.16,121.3,102.1,68.6,-0.026,5.37,107.5,102.1,1.76,5,110,160,254,71,78,63,112
2018,Florida,SEC,6,21,13,21,19.07,114.6,95.6,67.1,-0.059,10.96,110.6,99.6,4.53,41,21,223,307,11,28,3,52
2018,Butler,BE,10,21,13,22,18.74,115.7,97,67.9,-0.034,10.68,111.8,101.1,0.12,25,39,193,271,13,1,41,157
