Team,Year,Seed,Region,Bid type,Coach,Record,Eliminated,Round Reached
Air Force,2006,13,East,At Large,Jeff Bzdelik,24-7,1,First Round
Air Force,2004,11,South,At Large,Joe Scott,22-7,1,First Round
Akron,2013,12,South,Automatic Qualifier,Keith Dambrot,26-7,1,First Round
Akron,2011,15,Southwest,Automatic Qualifier,Keith Dambrot,23-13,1,First Round
Akron,2009,13,South,Automatic Qualifier,Keith Dambrot,23-13,1,First Round
Akron,1986,15,Midwest,Automatic Qualifier,Bob Huggins,22-8,1,First Round
Alabama,2012,9,Midwest,At Large,Anthony Grant,21-12,1,First Round
Alabama,2006,10,West,At Large,Mark Gottfried,18-13,2,Second Round
Alabama,2005,5,Midwest,At Large,Mark Gottfried,24-8,1,First Round
Alabama,2004,8,West,At Large,Mark Gottfried,20-13,4,Elite Eight
Alabama,2003,10,Midwest,At Large,Mark Gottfried,17-12,1,First Round
Alabama,2002,2,South,At Large,Mark Gottfried,27-8,2,Second Round
Alabama,1995,5,East,At Large,David Hobbs,23-10,2,Second Round
Alabama,1994,9,Southeast,At Large,David Hobbs,20-10,2,Second Round
Alabama,1992,5,Southeast,At Large,Wimp Sanderson,26-9,2,Second Round
Alabama,1991,4,Southeast,Automatic Qualifier,Wimp Sanderson,23-10,3,Sweet 16
Alabama,1990,7,West,Automatic Qualifier,Wimp Sanderson,26-9,3,Sweet 16
Alabama,1989,6,Southeast,Automatic Qualifier,Wimp Sanderson,23-8,1,First Round
Alabama,1987,2,Southeast,Automatic Qualifier,Wimp Sanderson,28-5,3,Sweet 16
Alabama,1986,5,Southeast,At Large,Wimp Sanderson,24-9,3,Sweet 16
Alabama,1985,7,West,At Large,Wimp Sanderson,23-10,3,Sweet 16
Alabama A&M,2005,16,East,Automatic Qualifier,L. Vann Pettaway,18-14,0,Play-In
Alabama State,2011,16,East,Automatic Qualifier,Lewis Jackson,17-18,0,Play-In
Alabama State,2009,16,Midwest,Automatic Qualifier,Lewis Jackson,22-10,0,Play-In
Alabama State,2004,16,South,Automatic Qualifier,Rob Spivery,16-15,1,First Round
Alabama State,2001,16,South,Automatic Qualifier,Rob Spivery,22-9,1,First Round
Alabama-Birmingham,2015,14,South,Automatic Qualifier,Jerod Haase,-,2,Second Round
Alabama-Birmingham,2011,12,East,Automatic Qualifier,Mike Davis,22-9,0,Play-In
Alabama-Birmingham,2006,9,East,At Large,Mike Anderson,24-7,1,First Round
Alabama-Birmingham,2005,11,Midwest,At Large,Mike Anderson,22-11,2,Second Round
Alabama-Birmingham,2004,9,Midwest,At Large,Mike Anderson,22-10,3,Sweet 16
Alabama-Birmingham,1999,12,West,At Large,Murry Bartow,20-12,1,First Round
Alabama-Birmingham,1994,7,East,At Large,Gene Bartow,22-8,1,First Round
Alabama-Birmingham,1990,10,East,At Large,Gene Bartow,22-9,1,First Round
Alabama-Birmingham,1987,11,Southeast,Automatic Qualifier,Gene Bartow,21-11,1,First Round
Alabama-Birmingham,1986,6,West,At Large,Gene Bartow,25-11,2,Second Round
Alabama-Birmingham,1985,7,Midwest,At Large,Gene Bartow,25-9,2,Second Round
Albany (N.Y.),2015,14,East,Automatic Qualifier,Will Brown,-,1,First Round
Albany (N.Y.),2014,16,South,Automatic Qualifier,Will Brown,19-15,1,First Round
Albany (N.Y.),2013,15,Midwest,Automatic Qualifier,Will Brown,24-11,1,First Round
Albany (N.Y.),2007,13,South,Automatic Qualifier,Will Brown,23-10,1,First Round
Albany (N.Y.),2006,16,East,Automatic Qualifier,Will Brown,21-11,1,First Round
Alcorn State,2002,16,East,Automatic Qualifier,Davey L. Whitney,21-10,0,Play-In
Alcorn State,1999,15,West,Automatic Qualifier,Davey L. Whitney,23-7,1,First Round
American,2014,15,West,Automatic Qualifier,Mike Brennan,20-13,1,First Round
American,2009,14,East,Automatic Qualifier,Jeff Jones,24-8,1,First Round
American,2008,15,East,Automatic Qualifier,Jeff Jones,21-12,1,First Round
Appalachian State,2000,14,South,Automatic Qualifier,Buzz Peterson,23-9,1,First Round
Arizona,2017,2,West,Automatic Qualifier,Sean Miller,32-5,3,Sweet 16
Arizona,2016,6,South,Automatic Qualifier,Sean Miller,-,1,First Round
Arizona,2015,2,West,Automatic Qualifier,Sean Miller,-,4,Elite Eight
Arizona,2014,1,West,At Large,Sean Miller,33-5,4,Elite Eight
Arizona,2013,6,West,Automatic Qualifier,Sean Miller,27-8,3,Sweet 16
Arizona,2011,5,West,At Large,Sean Miller,30-8,4,Elite Eight
Arizona,2009,12,Midwest,At Large,Russ Pennell,21-14,3,Sweet 16
Arizona,2008,10,West,At Large,Kevin O'Neill,19-15,1,First Round
Arizona,2007,8,Midwest,At Large,Lute Olson,20-11,1,First Round
Arizona,2006,8,Midwest,At Large,Lute Olson,20-13,2,Second Round
Arizona,2005,3,Midwest,At Large,Lute Olson,30-7,4,Elite Eight
Arizona,2004,9,South,At Large,Lute Olson,20-10,1,First Round
Arizona,2003,1,West,At Large,Lute Olson,28-4,4,Elite Eight
Arizona,2002,3,West,Automatic Qualifier,Lute Olson,24-10,3,Sweet 16
Arizona,2001,2,Midwest,At Large,Lute Olson,28-8,6,National Championship
Arizona,2000,1,West,Automatic Qualifier,Lute Olson,27-7,2,Second Round
Arizona,1999,4,Midwest,At Large,Lute Olson,22-7,1,First Round
Arizona,1998,1,West,Automatic Qualifier,Lute Olson,30-5,4,Elite Eight
Arizona,1997,4,Southeast,At Large,Lute Olson,25-9,6,National Championship
Arizona,1996,3,West,At Large,Lute Olson,26-7,3,Sweet 16
Arizona,1995,5,Midwest,At Large,Lute Olson,23-8,1,First Round
Arizona,1994,2,West,Automatic Qualifier,Lute Olson,29-6,5,Final Four
Arizona,1993,2,West,Automatic Qualifier,Lute Olson,24-4,1,First Round
Arizona,1992,3,Southeast,At Large,Lute Olson,24-7,1,First Round
Arizona,1991,2,West,Automatic Qualifier,Lute Olson,28-7,3,Sweet 16
Arizona,1990,2,West,At Large,Lute Olson,25-7,2,Second Round
Arizona,1989,1,West,Automatic Qualifier,Lute Olson,29-4,3,Sweet 16
Arizona,1988,1,West,Automatic Qualifier,Lute Olson,35-3,5,Final Four
Arizona,1987,10,West,At Large,Lute Olson,18-12,1,First Round
Arizona,1986,9,West,Automatic Qualifier,Lute Olson,23-9,1,First Round
Arizona,1985,10,West,At Large,Lute Olson,21-10,1,First Round
Arizona State,2014,10,Midwest,At Large,Herb Sendek,21-12,1,First Round
Arizona State,2009,6,South,At Large,Herb Sendek,25-10,2,Second Round
Arizona State,2003,10,West,At Large,Rob Evans,20-12,2,Second Round
Arizona State,1995,5,Southeast,At Large,Bill Frieder,24-9,3,Sweet 16
Arizona State,1991,8,Southeast,At Large,Bill Frieder,20-10,2,Second Round
Arkansas,2017,8,South,At Large,Mike Anderson,26-10,2,Second Round
Arkansas,2015,5,West,At Large,Mike Anderson,-,2,Second Round
Arkansas,2008,9,East,At Large,John Pelphrey,23-12,2,Second Round
Arkansas,2007,12,East,At Large,Stan Heath,21-14,1,First Round
Arkansas,2006,8,West,At Large,Stan Heath,22-10,1,First Round
Arkansas,2001,7,West,At Large,Nolan Richardson,20-11,1,First Round
Arkansas,2000,11,South,Automatic Qualifier,Nolan Richardson,19-15,1,First Round
Arkansas,1999,4,West,At Large,Nolan Richardson,23-11,2,Second Round
Arkansas,1998,6,West,At Large,Nolan Richardson,24-9,2,Second Round
Arkansas,1996,12,East,At Large,Nolan Richardson,20-13,3,Sweet 16
Arkansas,1995,2,Midwest,At Large,Nolan Richardson,32-7,6,National Championship
Arkansas,1994,1,Midwest,At Large,Nolan Richardson,31-3,6,National Championship
Arkansas,1993,4,East,At Large,Nolan Richardson,22-9,3,Sweet 16
Arkansas,1992,3,Midwest,At Large,Nolan Richardson,26-8,2,Second Round
Arkansas,1991,1,Southeast,Automatic Qualifier,Nolan Richardson,34-4,4,Elite Eight
Arkansas,1990,4,Midwest,Automatic Qualifier,Nolan Richardson,30-5,5,Final Four
Arkansas,1989,5,Midwest,Automatic Qualifier,Nolan Richardson,25-7,2,Second Round
Arkansas,1988,11,Southeast,At Large,Nolan Richardson,21-9,1,First Round
Arkansas,1985,9,West,At Large,Eddie Sutton,22-13,2,Second Round
Arkansas State,1999,15,Midwest,Automatic Qualifier,Dickey Nutt,18-12,1,First Round
Arkansas-Little Rock,2016,12,Midwest,Automatic Qualifier,Chris Beard,-,2,Second Round
Arkansas-Little Rock,2011,16,Southeast,Automatic Qualifier,Steve Shields,19-17,0,Play-In
Arkansas-Little Rock,1990,16,West,Automatic Qualifier,Mike Newell,20-10,1,First Round
Arkansas-Little Rock,1989,13,Midwest,Automatic Qualifier,Mike Newell,23-8,1,First Round
Arkansas-Little Rock,1986,14,Midwest,Automatic Qualifier,Mike Newell,23-11,2,Second Round
Arkansas-Pine Bluff,2010,16,South,Automatic Qualifier,George Ivory,18-16,1,First Round
Auburn,2003,10,East,At Large,Cliff Ellis,22-12,3,Sweet 16
Auburn,2000,7,Midwest,At Large,Cliff Ellis,24-10,2,Second Round
Auburn,1999,1,South,At Large,Cliff Ellis,29-4,3,Sweet 16
Auburn,1988,8,Southeast,At Large,Sonny Smith,19-11,2,Second Round
Auburn,1987,8,Midwest,At Large,Sonny Smith,18-13,2,Second Round
Auburn,1986,8,West,At Large,Sonny Smith,22-11,4,Elite Eight
Auburn,1985,11,Southeast,Automatic Qualifier,Sonny Smith,22-12,3,Sweet 16
Austin Peay,2016,16,South,Automatic Qualifier,Dave Loos,-,1,First Round
Austin Peay,2008,15,South,Automatic Qualifier,Dave Loos,24-11,1,First Round
Austin Peay,2003,13,East,Automatic Qualifier,Dave Loos,23-8,1,First Round
Austin Peay,1996,14,Southeast,Automatic Qualifier,Dave Loos,19-11,1,First Round
Austin Peay,1987,14,Southeast,Automatic Qualifier,Lake Kelly,20-12,2,Second Round
Ball State,2000,11,Midwest,Automatic Qualifier,Ray McCallum,22-9,1,First Round
Ball State,1995,12,Southeast,Automatic Qualifier,Ray McCallum,19-11,1,First Round
Ball State,1993,15,Midwest,Automatic Qualifier,Dick Hunsaker,26-8,1,First Round
Ball State,1990,12,West,Automatic Qualifier,Dick Hunsaker,26-7,3,Sweet 16
Ball State,1989,9,Midwest,Automatic Qualifier,Rick Majerus,29-3,2,Second Round
Ball State,1986,14,Southeast,Automatic Qualifier,Al Brown,21-10,1,First Round
Baylor,2017,3,East,At Large,Scott Drew,27-8,3,Sweet 16
Baylor,2016,5,West,At Large,Scott Drew,-,1,First Round
Baylor,2015,3,West,At Large,Scott Drew,-,1,First Round
Baylor,2014,6,West,At Large,Scott Drew,25-12,3,Sweet 16
Baylor,2012,3,South,At Large,Scott Drew,30-8,4,Elite Eight
Baylor,2010,3,South,At Large,Scott Drew,28-8,4,Elite Eight
Baylor,2008,11,West,At Large,Scott Drew,21-11,1,First Round
Baylor,1988,8,Midwest,At Large,Gene Iba,23-11,1,First Round
Belmont,2015,15,East,Automatic Qualifier,Rick Byrd,-,1,First Round
Belmont,2013,11,West,Automatic Qualifier,Rick Byrd,26-7,1,First Round
Belmont,2012,14,Midwest,Automatic Qualifier,Rick Byrd,27-8,1,First Round
Belmont,2011,13,Southeast,Automatic Qualifier,Rick Byrd,30-5,1,First Round
Belmont,2008,15,West,Automatic Qualifier,Rick Byrd,25-9,1,First Round
Belmont,2007,15,East,Automatic Qualifier,Rick Byrd,23-10,1,First Round
Belmont,2006,15,West,Automatic Qualifier,Rick Byrd,20-11,1,First Round
