year,round,seed1,team1,score1,seed2,team2,score2 
2017,1,5,Notre Dame,60,12,Princeton,58
2017,1,4,West Virginia,86,13,Bucknell,80
2017,1,5,Virginia,76,12,UNC Wilmington,71
2017,1,4,Florida,80,13,East Tennessee State,65
2017,1,1,Gonzaga,66,16,South Dakota State,46
2017,1,8,Northwestern,68,9,Vanderbilt,66
2017,1,7,St. Mary's (Cal.),85,10,Virginia Commonwealth,77
2017,1,2,Arizona,100,15,North Dakota,82
2017,1,5,Iowa State,84,12,Nevada,73
2017,1,4,Purdue,80,13,Vermont,70
2017,1,5,Minnesota,72,12,Middle Tennessee State,81
2017,1,4,Butler,76,13,Winthrop,64
2017,1,1,Villanova,76,16,Mount St. Mary's,56
2017,1,8,Wisconsin,84,9,Virginia Tech,74
2017,1,6,Maryland,65,11,Xavier,76
2017,1,3,Florida State,86,14,Florida Gulf Coast,80
2017,1,6,Southern Methodist,65,11,Southern California,66
2017,1,3,Baylor,91,14,New Mexico State,73
2017,1,1,Kansas,100,16,UC Davis,62
2017,1,8,Miami (Fla.),58,9,Michigan State,78
2017,1,7,South Carolina,93,10,Marquette,73
2017,1,2,Duke,87,15,Troy,65
2017,1,1,North Carolina,103,16,Texas Southern,64
2017,1,8,Arkansas,77,9,Seton Hall,71
2017,1,6,Creighton,72,11,Rhode Island,84
2017,1,3,Oregon,93,14,Iona,77
2017,1,6,Cincinnati,75,11,Kansas State,61
2017,1,3,UCLA,97,14,Kent State,80
2017,1,7,Michigan,92,10,Oklahoma State,91
2017,1,2,Louisville,78,15,Jacksonville State,63
2017,1,7,Dayton,58,10,Wichita State,64
2017,1,2,Kentucky,79,15,Northern Kentucky,70
2016,1,2,Villanova,86,15,UNC Asheville,56
2016,1,7,Iowa,72,10,Temple,70
2016,1,3,Miami (Fla.),79,14,Buffalo,72
2016,1,4,California,66,13,Hawaii,77
2016,1,5,Maryland,79,12,South Dakota State,74
2016,1,8,Colorado,67,9,Connecticut,74
2016,1,1,Kansas,105,16,Austin Peay,79
2016,1,2,Oklahoma,82,15,Cal State Bakersfied,68
2016,1,7,Oregon State,67,10,Virginia Commonwealth,75
2016,1,3,Texas A&M,92,14,Green Bay,65
2016,1,6,Texas,72,11,Northern Iowa,75
2016,1,4,Duke,93,13,UNC Wilmington,85
2016,1,12,Yale,79,5,Baylor,75
2016,1,8,St. Joseph's,78,9,Cincinnati,76
2016,1,2,Xavier,71,15,Weber State,53
2016,1,10,Pittsburgh,43,7,Wisconsin,47
2016,1,3,West Virginia,56,14,Stephen F. Austin,70
2016,1,4,Kentucky,85,13,Stony Brook,57
2016,1,5,Indiana,99,12,Chattanooga,74
2016,1,8,Southern California,69,9,Providence,70
2016,1,1,North Carolina,83,16,Florida Gulf Coast,67
2016,1,1,Virginia,81,16,Hampton,45
2016,1,8,Texas Tech,61,9,Butler,71
2016,1,5,Purdue,83,12,Arkansas-Little Rock,85
2016,1,4,Iowa State,94,13,Iona,81
2016,1,6,Seton Hall,52,11,Gonzaga,68
2016,1,3,Utah,80,14,Fresno State,69
2016,1,7,Dayton,51,10,Syracuse,70
2016,1,2,Michigan State,81,15,Middle Tennessee State,90
2016,1,6,Arizona,55,11,Wichita State,65
2016,1,1,Oregon,91,16,Holy Cross,52
2016,1,6,Notre Dame,70,11,Michigan,63
2015,1,8,Cincinnati,66,9,Purdue,65
2015,1,12,Buffalo,62,5,West Virginia,68
2015,1,4,Maryland,65,13,Valparaiso,62
2015,1,6,Butler,56,11,Texas,48
2015,1,3,Notre Dame,69,14,Northeastern,65
2015,1,7,Wichita State,81,10,Indiana,76
2015,1,2,Kansas,75,15,New Mexico State,56
2015,1,1,Villanova,93,16,Lafayette,52
2015,1,8,North Carolina State,66,9,LSU,65
2015,1,5,Northern Iowa,71,12,Wyoming,54
2015,1,4,Louisville,57,13,UC Irvine,55
2015,1,3,Oklahoma,69,14,Albany (N.Y.),60
2015,1,7,Michigan State,70,10,Georgia,63
2015,1,2,Virginia,79,15,Belmont,67
2015,1,1,Wisconsin,86,16,Coastal Carolina,72
2015,1,8,Oregon,79,9,Oklahoma State,73
2015,1,4,North Carolina,67,13,Harvard,65
2015,1,3,Baylor,56,14,Georgia State,57
2015,1,7,Virginia Commonwealth,72,10,Ohio State,75
2015,1,2,Arizona,93,15,Texas Southern,72
2015,1,8,San Diego State,76,9,St. John's,64
2015,1,5,Utah,57,12,Stephen F. Austin,50
2015,1,4,Georgetown,84,13,Eastern Washington,74
2015,1,6,Southern Methodist,59,11,UCLA,60
2015,1,3,Iowa State,59,14,Alabama-Birmingham,60
2015,1,7,Iowa,83,10,Davidson,52
2015,1,2,Gonzaga,86,15,North Dakota State,76
2015,1,1,Kentucky,79,16,Hampton,56
2015,1,6,Xavier,76,11,Mississippi,57
2015,1,6,Providence,53,11,Dayton,66
2015,1,1,Duke,85,16,Robert Morris,56
2015,1,5,Arkansas,56,12,Wofford,53
