Year,Team,Conf,Seed,Wins,Losses,KenPom,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,OppO,OppD,NCSOS AdjEM,AdjO_rank,AdjD_rank,AdjT_rank,Luck_rank,SOS AdjEM_rank,OppO_rank,OppD_rank,NCSOS AdjEM_rank
2018,Virginia,ACC,1,31,2,1,32.15,116.5,84.4,59.2,0.032,9.99,110.9,100.9,0.22,21,1,351,98,25,29,26,160
2018,Villanova,BE,1,30,4,2,31.41,127.4,96,68.3,-0.018,10.23,111.3,101.1,4.11,1,22,168,222,20,19,30,64
2018,Duke,ACC,2,26,7,3,29.13,122.6,93.5,70,-0.029,10.9,111,100.1,4.61,3,7,78,260,13,26,10,51
2018,Cincinnati,Amer,2,30,4,4,27,113.2,86.2,64.7,-0.004,3.18,107,103.8,-4.14,54,2,322,183,89,97,91,295
2018,Purdue,B10,2,28,6,5,26.67,123.2,96.6,67.2,0.003,8.55,109.3,100.8,0.91,2,28,219,167,44,54,22,145
2018,Michigan St.,B10,3,29,4,6,26.35,120,93.6,67.1,0.048,6.5,109,102.5,-4.7,9,9,222,64,64,62,67,303
2018,North Carolina,ACC,2,25,10,7,25.03,122,96.9,71,-0.019,14.05,112.5,98.4,7.99,4,34,50,227,1,1,1,15
2018,Gonzaga,WCC,4,30,4,8,24.74,119.8,95.1,69,-0.006,0.95,106.6,105.6,3.24,12,17,125,191,127,107,154,82
2018,Kansas,B12,1,27,7,9,23.24,120.9,97.7,68.4,0.06,11.49,111.7,100.2,3.71,6,46,161,50,6,12,11,76
2018,Michigan,B10,3,28,7,10,23.19,115.9,92.7,64.4,0.037,8.78,111.1,102.3,-4.6,29,5,333,90,41,22,63,300
2018,Tennessee,SEC,3,25,8,11,22.15,114.8,92.7,66.2,0.04,11.62,112.2,100.5,7.56,40,4,271,81,4,2,15,18
2018,Texas Tech,B12,3,24,9,12,21.94,114,92.1,66.6,-0.021,9.26,110.4,101.1,-5.12,46,3,248,236,37,38,34,312
2018,West Virginia,B12,5,24,10,13,21.77,119.2,97.4,69,-0.009,10.48,109.9,99.5,-4.24,14,39,117,197,18,43,2,297
2018,Xavier,BE,1,28,5,14,21.69,120.7,99,70.4,0.109,9.62,110.3,100.7,2.09,7,59,61,9,31,39,18,107
2018,Ohio St.,B10,5,24,8,15,21.11,116.2,95,66.4,0.027,8.16,109.8,101.6,0.41,27,16,260,107,51,47,48,153
2018,Auburn,SEC,4,25,7,16,20.63,118.2,97.6,72.3,-0.012,7.53,109.1,101.5,-1.75,16,44,21,204,56,61,46,215
