name,url
Air Force,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/air-force/
Akron,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/akron/
Alabama,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/alabama/
Alabama A&M,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/alabama-am/
Alabama State,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/alabama-state/
Alabama-Birmingham,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/alabama-birmingham/
Albany (N.Y.),https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/albany-ny/
Alcorn State,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/alcorn-state/
American,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/american/
Appalachian State,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/appalachian-state/
Arizona,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/arizona/
Arizona State,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/arizona-state/
Arkansas,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/arkansas/
Arkansas State,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/arkansas-state/
Arkansas-Little Rock,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/arkansas-little-rock/
Arkansas-Pine Bluff,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/arkansas-pine-bluff/
Auburn,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/auburn/
Austin Peay,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/austin-peay/
Ball State,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/ball-state/
Baylor,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/baylor/
Belmont,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/belmont/
Binghamton,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/binghamton/
Boise State,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/boise-state/
Boston College,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/boston-college/
Boston University,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/boston-university/
Bradley,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/bradley/
Brigham Young,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/brigham-young/
Brown,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/brown/
Bucknell,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/bucknell/
Buffalo,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/buffalo/
Butler,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/butler/
Cal State Bakersfied,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/cal-state-bakersfied/
Cal State Fullerton,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/cal-state-fullerton/
Cal State Northridge,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/cal-state-northridge/
Cal-Poly,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/cal-poly/
California,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/california/
Campbell,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/campbell/
Canisius,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/canisius/
Central Connecticut State,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/central-connecticut-state/
Central Florida,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/central-florida/
Central Michigan,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/central-michigan/
Charleston Southern,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/charleston-southern/
Charlotte,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/charlotte/
Chattanooga,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/chattanooga/
Cincinnati,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/cincinnati/
Clemson,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/clemson/
Cleveland State,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/cleveland-state/
Coastal Carolina,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/coastal-carolina/
Colgate,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/colgate/
College of Charleston,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/college-of-charleston/
Colorado,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/colorado/
Colorado State,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/colorado-state/
Connecticut,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/connecticut/
Coppin State,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/coppin-state/
Cornell,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/cornell/
Creighton,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/creighton/
Davidson,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/davidson/
Dayton,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/dayton/
Delaware,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/delaware/
Delaware State,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/delaware-state/
DePaul,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/depaul/
Detroit,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/detroit/
Drake,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/drake/
Drexel,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/drexel/
Duke,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/duke/
East Carolina,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/east-carolina/
East Tennessee State,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/east-tennessee-state/
Eastern Illinois,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/eastern-illinois/
Eastern Kentucky,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/eastern-kentucky/
Eastern Michigan,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/eastern-michigan/
Eastern Washington,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/eastern-washington/
Evansville,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/evansville/
Fairfield,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/fairfield/
Fairleigh Dickinson,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/fairleigh-dickinson/
Florida,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/florida/
Florida A&M,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/florida-am/
Florida Atlantic,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/florida-atlantic/
Florida Gulf Coast,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/florida-gulf-coast/
Florida International,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/florida-international/
Florida State,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/florida-state/
Fordham,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/fordham/
Fresno State,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/fresno-state/
George Mason,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/george-mason/
George Washington,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/george-washington/
Georgetown,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/georgetown/
Georgia,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/georgia/
Georgia Southern,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/georgia-southern/
Georgia State,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/georgia-state/
Georgia Tech,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/georgia-tech/
Gonzaga,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/gonzaga/
Green Bay,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/wisconsin-green-bay/
Hampton,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/hampton/
Harvard,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/harvard/
Hawaii,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/hawaii/
Hofstra,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/hofstra/
Holy Cross,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/holy-cross/
Houston,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/houston/
Howard,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/howard/
Idaho,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/idaho/
Idaho State,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/idaho-state/
Illinois,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/illinois/
Illinois State,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/illinois-state/
Illinois-Chicago,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/illinois-chicago/
Indiana,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/indiana/
Indiana State,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/indiana-state/
Iona,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/iona/
Iowa,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/iowa/
Iowa State,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/iowa-state/
IUPUI,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/iupui/
Jackson State,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/jackson-state/
Jacksonville,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/jacksonville/
Jacksonville State,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/jacksonville-state/
James Madison,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/james-madison/
Kansas,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/kansas/
Kansas State,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/kansas-state/
Kent State,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/kent-state/
Kentucky,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/kentucky/
La Salle,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/la-salle/
Lafayette,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/lafayette/
Lamar,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/lamar/
Lehigh,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/lehigh/
Liberty,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/liberty/
Long Beach State,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/long-beach-state/
Long Island,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/long-island/
Louisiana Tech,https://apps.washingtonpost.com/sports/apps/live-updating-mens-ncaa-basketball-bracket/schools/louisiana-tech/
