"name","conference","division","city","postal","arena","arena_cap","arena_lat","arena_lon","year_founded","year_joined","coach","name_wiki","city_wiki","arena_wiki","coach_wiki"
"Boston Celtics","Eastern","Atlantic","Boston"," MA","TD Garden","18624","42.366303","-71.062228","1946","1946","Brad Stevens","/wiki/Boston_Celtics","/wiki/Boston","/wiki/TD_Garden","/wiki/Brad_Stevens"
"Brooklyn Nets","Eastern","Atlantic","New York City"," NY","Barclays Center","17732","40.68265","-73.974689","1967","1976","Kenny Atkinson","/wiki/Brooklyn_Nets","/wiki/New_York_City","/wiki/Barclays_Center","/wiki/Kenny_Atkinson"
"New York Knicks","Eastern","Atlantic","New York City"," NY","Madison Square Garden","19812","40.750556","-73.993611","1946","1946","Jeff Hornacek","/wiki/New_York_Knicks","/wiki/New_York_City","/wiki/Madison_Square_Garden","/wiki/Jeff_Hornacek"
"Philadelphia 76ers","Eastern","Atlantic","Philadelphia"," PA","Wells Fargo Center","21600","39.901111","-75.171944","1946","1949","Brett Brown","/wiki/Philadelphia_76ers","/wiki/Philadelphia","/wiki/Wells_Fargo_Center_(Philadelphia)","/wiki/Brett_Brown"
"Toronto Raptors","Eastern","Atlantic","Toronto"," ON","Air Canada Centre","19800","43.643333","-79.379167","1995","1995","Dwane Casey","/wiki/Toronto_Raptors","/wiki/Toronto","/wiki/Air_Canada_Centre","/wiki/Dwane_Casey"
"Chicago Bulls","Eastern","Central","Chicago"," IL","United Center","20917","41.880556","-87.674167","1966","1966","Fred Hoiberg","/wiki/Chicago_Bulls","/wiki/Chicago","/wiki/United_Center","/wiki/Fred_Hoiberg"
"Cleveland Cavaliers","Eastern","Central","Cleveland"," OH","Quicken Loans Arena","20562","41.496389","-81.688056","1970","1970","Tyronn Lue","/wiki/Cleveland_Cavaliers","/wiki/Cleveland","/wiki/Quicken_Loans_Arena","/wiki/Tyronn_Lue"
"Detroit Pistons","Eastern","Central","Detroit"," MI","Little Caesars Arena","19971","42.696944","-83.245556","1941","1948","Stan Van Gundy","/wiki/Detroit_Pistons","/wiki/Detroit","/wiki/Little_Caesars_Arena","/wiki/Stan_Van_Gundy"
"Indiana Pacers","Eastern","Central","Indianapolis"," IN","Bankers Life Fieldhouse","18165","39.763889","-86.155556","1967","1976","Nate McMillan","/wiki/Indiana_Pacers","/wiki/Indianapolis","/wiki/Bankers_Life_Fieldhouse","/wiki/Nate_McMillan"
"Milwaukee Bucks","Eastern","Central","Milwaukee"," WI","BMO Harris Bradley Center","18717","43.043611","-87.916944","1968","1968","Jason Kidd","/wiki/Milwaukee_Bucks","/wiki/Milwaukee","/wiki/BMO_Harris_Bradley_Center","/wiki/Jason_Kidd"
"Atlanta Hawks","Eastern","Southeast","Atlanta"," GA","Philips Arena","15711","33.757222","-84.396389","1946","1949","Mike Budenholzer","/wiki/Atlanta_Hawks","/wiki/Atlanta","/wiki/Philips_Arena","/wiki/Mike_Budenholzer"
"Charlotte Hornets","Eastern","Southeast","Charlotte"," NC","Spectrum Center","19077","35.225","-80.839167","1988","1988","Steve Clifford","/wiki/Charlotte_Hornets","/wiki/Charlotte,_North_Carolina","/wiki/Spectrum_Center_(Charlotte)","/wiki/Steve_Clifford"
"Miami Heat","Eastern","Southeast","Miami"," FL","American Airlines Arena","19600","25.781389","-80.188056","1988","1988","Erik Spoelstra","/wiki/Miami_Heat","/wiki/Miami","/wiki/American_Airlines_Arena","/wiki/Erik_Spoelstra"
"Orlando Magic","Eastern","Southeast","Orlando"," FL","Amway Center","18846","28.539167","-81.383611","1989","1989","Frank Vogel","/wiki/Orlando_Magic","/wiki/Orlando,_Florida","/wiki/Amway_Center","/wiki/Frank_Vogel"
"Washington Wizards","Eastern","Southeast","Washington"," DC","Capital One Arena","20356","38.898056","-77.020833","1961","1961","Scott Brooks","/wiki/Washington_Wizards","/wiki/Washington,_D.C.","/wiki/Capital_One_Arena","/wiki/Scott_Brooks"
"Denver Nuggets","Western","Northwest","Denver"," CO","Pepsi Center","19155","39.748611","-105.0075","1967","1976","Michael Malone","/wiki/Denver_Nuggets","/wiki/Denver","/wiki/Pepsi_Center","/wiki/Michael_Malone_(basketball)"
"Minnesota Timberwolves","Western","Northwest","Minneapolis"," MN","Target Center","19356","44.979444","-93.276111","1989","1989","Tom Thibodeau","/wiki/Minnesota_Timberwolves","/wiki/Minneapolis","/wiki/Target_Center","/wiki/Tom_Thibodeau"
"Oklahoma City Thunder","Western","Northwest","Oklahoma City"," OK","Chesapeake Energy Arena","18203","35.463333","-97.515","1967","1967","Billy Donovan","/wiki/Oklahoma_City_Thunder","/wiki/Oklahoma_City","/wiki/Chesapeake_Energy_Arena","/wiki/Billy_Donovan"
"Portland Trail Blazers","Western","Northwest","Portland"," OR","Moda Center","19441","45.531667","-122.666667","1970","1970","Terry Stotts","/wiki/Portland_Trail_Blazers","/wiki/Portland,_Oregon","/wiki/Moda_Center","/wiki/Terry_Stotts"
"Utah Jazz","Western","Northwest","Salt Lake City"," UT","Vivint Smart Home Arena","19911","40.768333","-111.901111","1974","1974","Quin Snyder","/wiki/Utah_Jazz","/wiki/Salt_Lake_City","/wiki/Vivint_Smart_Home_Arena","/wiki/Quin_Snyder"
"Golden State Warriors","Western","Pacific","Oakland"," CA","Oracle Arena","19596","37.750278","-122.203056","1946","1946","Steve Kerr","/wiki/Golden_State_Warriors","/wiki/Oakland,_California","/wiki/Oracle_Arena","/wiki/Steve_Kerr"
"Los Angeles Clippers","Western","Pacific","Los Angeles"," CA","Staples Center","19060","34.043056","-118.267222","1970","1970","Doc Rivers","/wiki/Los_Angeles_Clippers","/wiki/Los_Angeles","/wiki/Staples_Center","/wiki/Doc_Rivers"
"Los Angeles Lakers","Western","Pacific","Los Angeles"," CA","Staples Center","18997","34.043056","-118.267222","1947","1948","Luke Walton","/wiki/Los_Angeles_Lakers","/wiki/Los_Angeles","/wiki/Staples_Center","/wiki/Luke_Walton"
"Phoenix Suns","Western","Pacific","Phoenix"," AZ","Talking Stick Resort Arena","18055","33.445833","-112.071389","1968","1968","Jay Triano","/wiki/Phoenix_Suns","/wiki/Phoenix,_Arizona","/wiki/Talking_Stick_Resort_Arena","/wiki/Jay_Triano"
"Sacramento Kings","Western","Pacific","Sacramento"," CA","Golden 1 Center","17500","38.649167","-121.518056","1923","1948","Dave Joerger","/wiki/Sacramento_Kings","/wiki/Sacramento,_California","/wiki/Golden_1_Center","/wiki/Dave_Joerger"
"Dallas Mavericks","Western","Southwest","Dallas"," TX","American Airlines Center","19200","32.790556","-96.810278","1980","1980","Rick Carlisle","/wiki/Dallas_Mavericks","/wiki/Dallas","/wiki/American_Airlines_Center","/wiki/Rick_Carlisle"
"Houston Rockets","Western","Southwest","Houston"," TX","Toyota Center","18055","29.750833","-95.362222","1967","1967","Mike D'Antoni","/wiki/Houston_Rockets","/wiki/Houston","/wiki/Toyota_Center","/wiki/Mike_D%27Antoni"
"Memphis Grizzlies","Western","Southwest","Memphis"," TN","FedExForum","18119","35.138333","-90.050556","1995","1995","David Fizdale","/wiki/Memphis_Grizzlies","/wiki/Memphis,_Tennessee","/wiki/FedExForum","/wiki/David_Fizdale"
"New Orleans Pelicans","Western","Southwest","New Orleans"," LA","Smoothie King Center","16867","29.948889","-90.081944","2002","2002","Alvin Gentry","/wiki/New_Orleans_Pelicans","/wiki/New_Orleans","/wiki/Smoothie_King_Center","/wiki/Alvin_Gentry"
